<23:54:27.216>Start FDBS 
<23:54:30.069>FDBS; opened connection to oralv8a 
<23:54:30.335>FDBS; opened connection to oralv9a 
<23:54:30.851>FDBS; opened connection to oralv10a 
<23:54:31.011>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('AKL', 'NZ ', 'Auckland', 'Auckland International') 
<23:54:31.534>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ARN', 'S ', 'Stockholm', 'Arlanda') 
<23:54:31.563>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ARN', 'S ', 'Stockholm', 'Arlanda') 
<23:54:31.605>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ARN', 'S ', 'Stockholm', 'Arlanda') 
<23:54:31.637>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('BCN', 'E ', 'Barcelona', '') 
<23:54:31.638>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('BCN', 'E ', 'Barcelona', '') 
<23:54:31.672>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('BCN', 'E ', 'Barcelona', '') 
<23:54:31.696>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('BCN', 'E ', 'Barcelona', '') 
<23:54:31.730>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('BHX', 'GB ', 'Birmingham', '') 
<23:54:31.732>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('BHX', 'GB ', 'Birmingham', '') 
<23:54:31.795>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('BHX', 'GB ', 'Birmingham', '') 
<23:54:31.818>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('BHX', 'GB ', 'Birmingham', '') 
<23:54:31.853>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('BOS', 'USA', 'Boston', 'Edward Lawrence Logan') 
<23:54:31.854>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('BOS', 'USA', 'Boston', 'Edward Lawrence Logan') 
<23:54:31.877>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('BOS', 'USA', 'Boston', 'Edward Lawrence Logan') 
<23:54:31.899>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('BOS', 'USA', 'Boston', 'Edward Lawrence Logan') 
<23:54:31.921>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('BRE', 'D ', 'Bremen', 'City Airport Bremen') 
<23:54:31.922>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('BRE', 'D ', 'Bremen', 'City Airport Bremen') 
<23:54:31.957>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('BRE', 'D ', 'Bremen', 'City Airport Bremen') 
<23:54:31.981>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('BRE', 'D ', 'Bremen', 'City Airport Bremen') 
<23:54:32.024>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('BRS', 'GB ', 'Bristol', 'International') 
<23:54:32.026>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('BRS', 'GB ', 'Bristol', 'International') 
<23:54:32.090>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('BRS', 'GB ', 'Bristol', 'International') 
<23:54:32.131>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('BRS', 'GB ', 'Bristol', 'International') 
<23:54:32.169>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('CDG', 'F ', 'Paris', 'Charles de Gaulle') 
<23:54:32.170>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('CDG', 'F ', 'Paris', 'Charles de Gaulle') 
<23:54:32.210>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('CDG', 'F ', 'Paris', 'Charles de Gaulle') 
<23:54:32.234>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('CDG', 'F ', 'Paris', 'Charles de Gaulle') 
<23:54:32.259>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('CGK', 'ID ', 'Jakarta', 'Sukarno-Hatta Airport') 
<23:54:32.262>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('CGK', 'ID ', 'Jakarta', 'Sukarno-Hatta Airport') 
<23:54:32.287>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('CGK', 'ID ', 'Jakarta', 'Sukarno-Hatta Airport') 
<23:54:32.312>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('CGK', 'ID ', 'Jakarta', 'Sukarno-Hatta Airport') 
<23:54:32.354>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('CGN', 'D ', 'Koeln', 'Konrad-Adenauer') 
<23:54:32.356>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('CGN', 'D ', 'Koeln', 'Konrad-Adenauer') 
<23:54:32.392>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('CGN', 'D ', 'Koeln', 'Konrad-Adenauer') 
<23:54:32.428>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('CGN', 'D ', 'Koeln', 'Konrad-Adenauer') 
<23:54:32.456>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('CPH', 'DK ', 'Kopenhagen', 'Kastrup') 
<23:54:32.457>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('CPH', 'DK ', 'Kopenhagen', 'Kastrup') 
<23:54:32.488>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('CPH', 'DK ', 'Kopenhagen', 'Kastrup') 
<23:54:32.511>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('CPH', 'DK ', 'Kopenhagen', 'Kastrup') 
<23:54:32.639>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('CPT', 'RSA', 'Kapstadt', '') 
<23:54:32.640>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('CPT', 'RSA', 'Kapstadt', '') 
<23:54:32.670>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('CPT', 'RSA', 'Kapstadt', '') 
<23:54:32.694>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('CPT', 'RSA', 'Kapstadt', '') 
<23:54:32.726>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('CRT', 'TUN', 'Chartage', 'Tunesien') 
<23:54:32.727>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('CRT', 'TUN', 'Chartage', 'Tunesien') 
<23:54:32.756>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('CRT', 'TUN', 'Chartage', 'Tunesien') 
<23:54:32.833>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('CRT', 'TUN', 'Chartage', 'Tunesien') 
<23:54:32.921>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('DJE', 'TUN', 'Djerba', 'Aeroport de Djerba') 
<23:54:32.922>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('DJE', 'TUN', 'Djerba', 'Aeroport de Djerba') 
<23:54:32.951>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('DJE', 'TUN', 'Djerba', 'Aeroport de Djerba') 
<23:54:32.996>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('DJE', 'TUN', 'Djerba', 'Aeroport de Djerba') 
<23:54:33.024>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('DRS', 'D ', 'Dresden', 'Dresden Airport') 
<23:54:33.026>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('DRS', 'D ', 'Dresden', 'Dresden Airport') 
<23:54:33.049>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('DRS', 'D ', 'Dresden', 'Dresden Airport') 
<23:54:33.099>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('DRS', 'D ', 'Dresden', 'Dresden Airport') 
<23:54:33.141>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('DUS', 'D ', 'Duesseldorf', 'Duesseldorf International') 
<23:54:33.143>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('DUS', 'D ', 'Duesseldorf', 'Duesseldorf International') 
<23:54:33.205>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('DUS', 'D ', 'Duesseldorf', 'Duesseldorf International') 
<23:54:33.228>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('DUS', 'D ', 'Duesseldorf', 'Duesseldorf International') 
<23:54:33.254>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('EDI', 'GB ', 'Edinburgh', '') 
<23:54:33.256>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('EDI', 'GB ', 'Edinburgh', '') 
<23:54:33.280>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('EDI', 'GB ', 'Edinburgh', '') 
<23:54:33.304>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('EDI', 'GB ', 'Edinburgh', '') 
<23:54:33.347>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ERF', 'D ', 'Erfurt', 'Flughafen Erfurt(ERF)') 
<23:54:33.348>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ERF', 'D ', 'Erfurt', 'Flughafen Erfurt(ERF)') 
<23:54:33.434>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ERF', 'D ', 'Erfurt', 'Flughafen Erfurt(ERF)') 
<23:54:33.474>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ERF', 'D ', 'Erfurt', 'Flughafen Erfurt(ERF)') 
<23:54:33.516>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('FCO', 'I ', 'Rom', 'Fiumicino') 
<23:54:33.517>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('FCO', 'I ', 'Rom', 'Fiumicino') 
<23:54:33.578>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('FCO', 'I ', 'Rom', 'Fiumicino') 
<23:54:33.600>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('FCO', 'I ', 'Rom', 'Fiumicino') 
<23:54:33.624>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('FDH', 'D ', 'Friedrichshafen', 'Bodensee-Airport') 
<23:54:33.625>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('FDH', 'D ', 'Friedrichshafen', 'Bodensee-Airport') 
<23:54:33.654>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('FDH', 'D ', 'Friedrichshafen', 'Bodensee-Airport') 
<23:54:33.679>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('FDH', 'D ', 'Friedrichshafen', 'Bodensee-Airport') 
<23:54:33.714>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('FLR', 'I ', 'Florenz', 'Peretola') 
<23:54:33.715>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('FLR', 'I ', 'Florenz', 'Peretola') 
<23:54:33.739>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('FLR', 'I ', 'Florenz', 'Peretola') 
<23:54:33.762>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('FLR', 'I ', 'Florenz', 'Peretola') 
<23:54:33.796>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('FRA', 'D ', 'Frankfurt', 'Rhein-Main') 
<23:54:33.797>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('FRA', 'D ', 'Frankfurt', 'Rhein-Main') 
<23:54:33.820>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('FRA', 'D ', 'Frankfurt', 'Rhein-Main') 
<23:54:33.845>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('FRA', 'D ', 'Frankfurt', 'Rhein-Main') 
<23:54:33.867>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('GOT', 'S ', 'Goeteborg', 'Landvetter') 
<23:54:33.868>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('GOT', 'S ', 'Goeteborg', 'Landvetter') 
<23:54:33.893>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('GOT', 'S ', 'Goeteborg', 'Landvetter') 
<23:54:33.945>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('GOT', 'S ', 'Goeteborg', 'Landvetter') 
<23:54:33.967>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('GRZ', 'A ', 'Graz', 'Flughafen Graz') 
<23:54:33.968>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('GRZ', 'A ', 'Graz', 'Flughafen Graz') 
<23:54:34.005>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('GRZ', 'A ', 'Graz', 'Flughafen Graz') 
<23:54:34.039>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('GRZ', 'A ', 'Graz', 'Flughafen Graz') 
<23:54:34.088>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('GVA', 'CH ', 'Genf', 'Flughafen Genf') 
<23:54:34.089>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('GVA', 'CH ', 'Genf', 'Flughafen Genf') 
<23:54:34.120>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('GVA', 'CH ', 'Genf', 'Flughafen Genf') 
<23:54:34.168>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('GVA', 'CH ', 'Genf', 'Flughafen Genf') 
<23:54:34.206>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('HAJ', 'D ', 'Hannover', 'Langenhagen') 
<23:54:34.207>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('HAJ', 'D ', 'Hannover', 'Langenhagen') 
<23:54:34.231>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('HAJ', 'D ', 'Hannover', 'Langenhagen') 
<23:54:34.299>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('HAJ', 'D ', 'Hannover', 'Langenhagen') 
<23:54:34.327>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('HHN', 'D ', 'Hahn', 'Flughafen Hahn') 
<23:54:34.328>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('HHN', 'D ', 'Hahn', 'Flughafen Hahn') 
<23:54:34.436>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('HHN', 'D ', 'Hahn', 'Flughafen Hahn') 
<23:54:34.481>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('HHN', 'D ', 'Hahn', 'Flughafen Hahn') 
<23:54:34.505>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('HKG', 'CHN', 'HongKong', 'HongKong International') 
<23:54:34.506>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('HKG', 'CHN', 'HongKong', 'HongKong International') 
<23:54:34.532>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('HKG', 'CHN', 'HongKong', 'HongKong International') 
<23:54:34.582>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('HKG', 'CHN', 'HongKong', 'HongKong International') 
<23:54:34.612>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('HRG', 'EG ', 'Hurghada', 'International') 
<23:54:34.612>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('HRG', 'EG ', 'Hurghada', 'International') 
<23:54:34.643>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('HRG', 'EG ', 'Hurghada', 'International') 
<23:54:34.668>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('HRG', 'EG ', 'Hurghada', 'International') 
<23:54:34.714>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('IAD', 'USA', 'Washington', 'Dulles') 
<23:54:34.715>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('IAD', 'USA', 'Washington', 'Dulles') 
<23:54:34.738>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('IAD', 'USA', 'Washington', 'Dulles') 
<23:54:34.771>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('IAD', 'USA', 'Washington', 'Dulles') 
<23:54:34.794>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ISA', 'AUS', 'Mount Isa', 'Queensland') 
<23:54:34.795>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ISA', 'AUS', 'Mount Isa', 'Queensland') 
<23:54:34.821>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ISA', 'AUS', 'Mount Isa', 'Queensland') 
<23:54:34.845>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ISA', 'AUS', 'Mount Isa', 'Queensland') 
<23:54:34.896>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('IST', 'TR ', 'Istanbul', 'Atat�rk') 
<23:54:34.897>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('IST', 'TR ', 'Istanbul', 'Atat�rk') 
<23:54:34.957>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('IST', 'TR ', 'Istanbul', 'Atat�rk') 
<23:54:34.982>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('IST', 'TR ', 'Istanbul', 'Atat�rk') 
<23:54:35.006>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('JFK', 'USA', 'New York', 'John F. Kennedy') 
<23:54:35.007>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('JFK', 'USA', 'New York', 'John F. Kennedy') 
<23:54:35.093>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('JFK', 'USA', 'New York', 'John F. Kennedy') 
<23:54:35.156>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('JFK', 'USA', 'New York', 'John F. Kennedy') 
<23:54:35.261>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('KIX', 'J ', 'Osaka', 'Kansai') 
<23:54:35.262>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('KIX', 'J ', 'Osaka', 'Kansai') 
<23:54:35.288>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('KIX', 'J ', 'Osaka', 'Kansai') 
<23:54:35.319>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('KIX', 'J ', 'Osaka', 'Kansai') 
<23:54:35.341>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('KLU', 'D ', 'Klagenfurt', 'Klagenfurter Flughafen') 
<23:54:35.342>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('KLU', 'D ', 'Klagenfurt', 'Klagenfurter Flughafen') 
<23:54:35.379>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('KLU', 'D ', 'Klagenfurt', 'Klagenfurter Flughafen') 
<23:54:35.404>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('KLU', 'D ', 'Klagenfurt', 'Klagenfurter Flughafen') 
<23:54:35.427>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('KSF', 'D ', 'Kassel', 'Calden') 
<23:54:35.428>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('KSF', 'D ', 'Kassel', 'Calden') 
<23:54:35.455>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('KSF', 'D ', 'Kassel', 'Calden') 
<23:54:35.492>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('KSF', 'D ', 'Kassel', 'Calden') 
<23:54:35.541>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('LAX', 'USA', 'Los Angeles', '') 
<23:54:35.542>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('LAX', 'USA', 'Los Angeles', '') 
<23:54:35.569>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('LAX', 'USA', 'Los Angeles', '') 
<23:54:35.599>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('LAX', 'USA', 'Los Angeles', '') 
<23:54:35.622>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('LGW', 'GB ', 'London', 'Gatwick') 
<23:54:35.623>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('LGW', 'GB ', 'London', 'Gatwick') 
<23:54:35.644>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('LGW', 'GB ', 'London', 'Gatwick') 
<23:54:35.716>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('LGW', 'GB ', 'London', 'Gatwick') 
<23:54:35.768>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('LHR', 'GB ', 'London', 'Heathrow') 
<23:54:35.769>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('LHR', 'GB ', 'London', 'Heathrow') 
<23:54:35.832>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('LHR', 'GB ', 'London', 'Heathrow') 
<23:54:35.855>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('LHR', 'GB ', 'London', 'Heathrow') 
<23:54:35.895>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('LIM', 'PE ', 'Lima', 'Jorge Ch�vez') 
<23:54:35.897>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('LIM', 'PE ', 'Lima', 'Jorge Ch�vez') 
<23:54:35.976>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('LIM', 'PE ', 'Lima', 'Jorge Ch�vez') 
<23:54:35.999>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('LIM', 'PE ', 'Lima', 'Jorge Ch�vez') 
<23:54:36.032>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('LPA', 'E ', 'Las Palmas', 'Las Palmas Airport') 
<23:54:36.033>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('LPA', 'E ', 'Las Palmas', 'Las Palmas Airport') 
<23:54:36.055>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('LPA', 'E ', 'Las Palmas', 'Las Palmas Airport') 
<23:54:36.081>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('LPA', 'E ', 'Las Palmas', 'Las Palmas Airport') 
<23:54:36.119>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('LYS', 'F ', 'Lyon', 'Saint-Exup�ry') 
<23:54:36.120>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('LYS', 'F ', 'Lyon', 'Saint-Exup�ry') 
<23:54:36.162>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('LYS', 'F ', 'Lyon', 'Saint-Exup�ry') 
<23:54:36.201>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('LYS', 'F ', 'Lyon', 'Saint-Exup�ry') 
<23:54:36.418>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('MAN', 'GB ', 'Manchester', '') 
<23:54:36.420>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('MAN', 'GB ', 'Manchester', '') 
<23:54:36.461>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('MAN', 'GB ', 'Manchester', '') 
<23:54:36.628>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('MAN', 'GB ', 'Manchester', '') 
<23:54:36.650>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('MCO', 'USA', 'Orlando', '') 
<23:54:36.669>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('MCO', 'USA', 'Orlando', '') 
<23:54:36.711>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('MCO', 'USA', 'Orlando', '') 
<23:54:36.814>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('MCO', 'USA', 'Orlando', '') 
<23:54:36.839>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('MIR', 'TUN', 'Monastir', 'A�roport Monastir') 
<23:54:36.840>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('MIR', 'TUN', 'Monastir', 'A�roport Monastir') 
<23:54:36.878>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('MIR', 'TUN', 'Monastir', 'A�roport Monastir') 
<23:54:36.916>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('MIR', 'TUN', 'Monastir', 'A�roport Monastir') 
<23:54:36.970>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('MPL', 'F ', 'Montpellier', 'Montpellier Airport') 
<23:54:36.971>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('MPL', 'F ', 'Montpellier', 'Montpellier Airport') 
<23:54:36.997>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('MPL', 'F ', 'Montpellier', 'Montpellier Airport') 
<23:54:37.019>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('MPL', 'F ', 'Montpellier', 'Montpellier Airport') 
<23:54:37.041>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('MRS', 'F ', 'Marseille', 'Marseille Provence') 
<23:54:37.042>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('MRS', 'F ', 'Marseille', 'Marseille Provence') 
<23:54:37.071>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('MRS', 'F ', 'Marseille', 'Marseille Provence') 
<23:54:37.168>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('MRS', 'F ', 'Marseille', 'Marseille Provence') 
<23:54:37.246>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('MUC', 'D ', 'Munich', 'Franz-Josef Strauss') 
